n_samples,sr_hz,duration_s,mean,std,rms,rms_dbfs,peak_abs,crest_factor,zcr_mean,zcr_std,spectral_flux_mean,spectral_flux_std,top1_freq_hz,top1_power,top2_freq_hz,top2_power,top3_freq_hz,top3_power,dom_freq_hz,spectral_centroid_hz,spectral_spread_hz,spectral_skewness,spectral_kurtosis,spectral_flatness,spectral_entropy,rolloff85_hz,rolloff95_hz,band_0_250_ratio,band_250_500_ratio,band_500_2000_ratio,band_2000_5000_ratio,band_5000_8000_ratio,freq_p25_hz,freq_p50_hz,freq_p75_hz,path,nombre_archivo,clase
171175,16000.0,10.6984375,-0.0008815904729999602,0.2199530303478241,0.21995480358600616,-13.153330980801627,0.609375,2.7704555211576625,0.15012013912200928,0.036371659487485886,0.4632054567337036,0.18074168264865875,1402.3543157587264,825181.875,1389.3617642763254,820771.75,1502.6493354753907,820669.375,1402.3543157587264,1274.916533682126,622.0722411418992,4.0927560690079785,32.649020253411685,0.017097916664108457,0.7979124853972015,1544.8050240981452,2006.5546954870745,0.0021185325960065477,0.029177274866520775,0.9182883407493606,0.04284288484050241,0.0075729669476096205,1005.1935154082079,1293.7403242295895,1499.3778297064407,data\raw\Training_data\136.wav,136.wav,5
274913,16000.0,17.1820625,-0.0008908215677365661,0.24503743648529053,0.24503904581069946,-12.21529414707528,0.609375,2.486848567271853,0.13585245609283447,0.03796053305268288,0.4679194986820221,0.18065474927425385,1292.1033199594053,2682022.75,1297.4577411762994,2251144.25,1278.6590666865518,2202468.75,1292.1033199594053,1266.4867748104164,511.68291969140967,6.116139481777139,61.95202766594682,0.014100201685905644,0.7906356415563648,1439.582704346466,1690.0182966975008,0.0060559024258092994,0.021924084134757996,0.9497152946181358,0.01686479570653404,0.005439923114762975,1127.3966673092941,1250.6065555284763,1344.77452866907,data\raw\Training_data\137.wav,137.wav,5
145425,16000.0,9.0890625,-0.0009274003095924854,0.2555936276912689,0.25559529662132263,-11.848942843621721,0.59375,2.323008317636105,0.1461758017539978,0.05658162385225296,0.4432956576347351,0.1658848375082016,782.5889633831871,1391775.5,931.5592229671652,1285306.875,852.4531545470173,1185705.375,782.5889633831871,1182.8911256587735,753.7117508394538,3.112578594295681,17.261074274855208,0.016581180864987204,0.7881189866969166,2008.5679903730443,2451.407942238267,0.0015204802595527194,0.03483188169490814,0.8120814617446895,0.1405964469737542,0.010969729327095577,817.9061371841154,917.4763623861096,1055.00429774798,data\raw\Training_data\138.wav,138.wav,5
83503,16000.0,5.2189375,-0.0008997618569992483,0.23282189667224884,0.23282364010810852,-12.659458500437882,0.578125,2.483102659728005,0.1418450027704239,0.025994623079895973,0.5208631753921509,0.17626558244228363,1219.5969007101542,952023.0,1212.6989449480857,697792.125,1204.0765002455,697791.125,1219.5969007101542,1227.2044674878136,491.5257079559645,6.716762266717947,68.34313405447783,0.014021214182714445,0.7545972967669414,1342.0356154868687,1637.8812737266924,0.0012678062902117574,0.014695298484576298,0.9593809966057539,0.019803880518886253,0.004852018100571717,1095.2420871106426,1205.417769421458,1284.5526508029652,data\raw\Training_data\139.wav,139.wav,5
217663,16000.0,13.6039375,-0.004124226048588753,0.004745871294289827,0.0062874904833734035,-44.030453185508534,0.033111572265625,5.266262009172819,0.08802750706672668,0.10336346924304962,0.370624840259552,0.14651603996753693,59.98263370439624,2575.36572265625,814.3965671703504,682.41748046875,117.98054791122054,489.45855712890625,59.98263370439624,695.0797282929598,1145.753107552675,2.1066020297203005,8.429721761147261,0.03846418506423682,0.39890092071566885,1689.8048818586528,3162.6872734456474,0.6084665175896696,0.022058774539426725,0.22719339497219143,0.1372817738778117,0.004999539020900653,0.0,0.0,1029.2608298148973,data\raw\Training_data\14.wav,14.wav,2
146953,16000.0,9.1845625,-0.0008673585252836347,0.2238515466451645,0.2238532304763794,-13.000732676676874,0.578125,2.5826073573729493,0.12815061211585999,0.02928396686911583,0.5186650156974792,0.14118708670139313,841.9562717331391,910413.6875,845.1137438500745,665366.1875,704.4429171231618,647907.625,841.9562717331391,1027.7223135656927,551.4523299481126,4.718995555746348,39.87472822929797,0.016312280870774652,0.8014781343467334,1283.022462964349,1837.6487720563716,0.0028935901347135976,0.035971224307471836,0.9170385288644449,0.039258089289553655,0.004838567403816001,737.8685702231326,923.0706416337196,1186.3384891768114,data\raw\Training_data\140.wav,140.wav,5
286575,16000.0,17.9109375,-8.330279524670914e-05,0.18809457123279572,0.1880946010351181,-14.51247340045515,0.297271728515625,1.5804373271730592,0.1399698257446289,0.048334185034036636,0.5020145177841187,0.15166287124156952,1309.5350257349735,741915.375,944.0600191921836,657037.9375,943.6133647387247,645930.8125,1309.5350257349735,1241.6500222324473,738.9881962135483,3.0857902876879004,18.751349063889787,0.06695671729979515,0.8499577220704653,1799.514961179447,2398.7577423013176,0.0055779597008374935,0.04794572815964442,0.8635091027396828,0.07617481932626287,0.006792390073572378,808.835383407485,1073.7573061153278,1458.8851086103116,data\raw\Training_data\141.wav,141.wav,5
214923,16000.0,13.4326875,-0.00010407041554572061,0.19272692501544952,0.1927269548177719,-14.301150812240548,0.299774169921875,1.5554345794822466,0.1506544053554535,0.04893794283270836,0.4933602511882782,0.13075129687786102,888.4298097458159,992872.5,907.1155716233255,988019.125,905.6266662944403,977494.75,888.4298097458159,1269.0782842338126,762.9569813959923,2.8637905577855123,16.92534982743461,0.06788501862814465,0.83604834094178,1764.2039241961074,2580.198489691657,0.012729554874439036,0.04207918868280003,0.8335264967051694,0.10588049659355644,0.005784263144035077,840.1892770899345,1069.4806977382598,1457.1916453799731,data\raw\Training_data\142.wav,142.wav,5
202106,16000.0,12.631625,-4.671647911891341e-05,0.139836385846138,0.1398364007472992,-17.08759525765219,0.2996826171875,2.1430944702950536,0.13430087268352509,0.03541751205921173,0.5361109972000122,0.12099171429872513,910.4925138293768,790696.0,869.0093317368114,519985.59375,910.6508465854553,495076.125,910.4925138293768,1245.0160837148333,706.2121136120529,3.3150677229017123,20.82101229405443,0.05286406707881563,0.8165072931729533,1761.5310777512793,2234.629352913818,0.004429393002077144,0.018204012518517113,0.9181554706990371,0.05291890367438562,0.006292202228229507,831.7219676803262,961.6339940427301,1533.2944098641308,data\raw\Training_data\143.wav,143.wav,5
156409,16000.0,9.7755625,7.054267189232633e-05,0.1755397468805313,0.1755397617816925,-15.11248990686971,0.299713134765625,1.707380320695427,0.1585700809955597,0.036021750420331955,0.48799991607666016,0.14502876996994019,1257.932727656337,426015.96875,1398.6918911315847,422185.15625,1265.7072163366558,409214.90625,1257.932727656337,1385.0002555282897,744.1061761850599,3.3038574929822953,20.026733809279982,0.06613353424342254,0.8304063259568416,1736.8821487254572,2348.816244589506,0.004434590545451122,0.02053848044415783,0.9088025785412653,0.05873794901053399,0.007486401458591456,968.4353202181461,1304.5796597382505,1612.2857380329779,data\raw\Training_data\144.wav,144.wav,5
177214,16000.0,11.075875,-7.2402917794534005e-06,0.22268924117088318,0.22268924117088318,-13.046015292277213,0.298492431640625,1.3403989796326683,0.12252829968929291,0.02367950603365898,0.4519071578979492,0.15605220198631287,815.01461509813,1490447.0,818.5357815973907,1448090.75,749.2861737785954,1022694.375,815.01461509813,1084.5550052555845,697.9655561418606,3.819058941068848,23.551243952457845,0.048978583293827926,0.7950287104652939,1188.709695622242,2615.0529867843397,0.004495878335460391,0.03699163726073447,0.8708295613965384,0.08297830433183641,0.004704540836417114,788.9218684754027,914.9615718848398,1067.996885121943,data\raw\Training_data\145.wav,145.wav,5
