iter	Passed	Remaining
599	5711	8567
600	5720	8556
601	5728	8544
602	5736	8533
603	5744	8522
604	5753	8510
605	5761	8499
606	5769	8488
607	5778	8477
608	5786	8466
609	5795	8455
610	5803	8444
611	5813	8435
612	5824	8428
613	5833	8418
614	5842	8407
615	5850	8395
616	5858	8384
617	5866	8371
618	5874	8361
619	5883	8350
620	5890	8338
621	5898	8326
622	5917	8330
623	5930	8325
624	5940	8316
625	5948	8305
626	5956	8293
627	5964	8281
628	5972	8269
629	5979	8257
630	5987	8246
631	5998	8238
632	6008	8229
633	6018	8220
634	6026	8209
635	6034	8197
636	6041	8185
637	6049	8173
638	6058	8163
639	6067	8153
640	6075	8141
641	6085	8132
642	6096	8124
643	6104	8114
644	6113	8104
645	6122	8093
646	6131	8083
647	6141	8074
648	6149	8064
649	6158	8053
650	6166	8041
651	6174	8030
652	6182	8019
653	6191	8008
654	6199	7997
655	6207	7985
656	6216	7976
657	6227	7968
658	6238	7961
659	6248	7952
660	6259	7944
661	6267	7933
662	6277	7925
663	6289	7918
664	6312	7926
665	6325	7921
666	6335	7912
667	6347	7905
668	6356	7895
669	6366	7886
670	6376	7878
671	6385	7868
672	6395	7858
673	6403	7847
674	6411	7836
675	6419	7824
676	6427	7813
677	6436	7803
678	6444	7792
679	6453	7781
680	6460	7770
681	6469	7759
682	6478	7749
683	6487	7739
684	6496	7729
685	6505	7719
686	6513	7708
687	6521	7697
688	6531	7687
689	6555	7695
690	6563	7684
691	6572	7674
692	6581	7663
693	6589	7652
694	6597	7642
695	6606	7631
696	6614	7620
697	6622	7609
698	6632	7600
699	6644	7593
700	6652	7582
701	6662	7573
702	6670	7562
703	6678	7551
704	6687	7541
705	6696	7531
706	6705	7521
707	6713	7510
708	6721	7499
709	6730	7489
710	6738	7477
711	6746	7466
712	6753	7454
713	6761	7443
714	6770	7432
715	6777	7421
716	6785	7410
717	6793	7399
718	6803	7389
719	6810	7378
720	6819	7368
721	6828	7358
722	6837	7347
723	6846	7338
724	6854	7327
725	6862	7316
726	6870	7305
727	6879	7295
728	6887	7284
729	6895	7273
730	6904	7263
731	6912	7252
732	6920	7241
733	6928	7230
734	6937	7220
735	6946	7210
736	6954	7199
737	6962	7188
738	6970	7178
739	6978	7167
740	6986	7156
741	6995	7145
742	7004	7136
743	7012	7125
744	7020	7114
745	7028	7103
746	7036	7092
747	7044	7082
748	7052	7071
749	7060	7060
750	7068	7049
751	7076	7039
752	7085	7028
753	7093	7018
754	7101	7007
755	7109	6996
756	7117	6985
757	7125	6975
758	7135	6966
759	7144	6956
760	7154	6947
761	7163	6937
762	7172	6927
763	7180	6917
764	7189	6907
765	7198	6897
766	7206	6887
767	7216	6878
768	7225	6868
769	7235	6859
770	7243	6849
771	7251	6838
772	7260	6828
773	7269	6818
774	7277	6808
775	7287	6799
776	7296	6789
777	7305	6779
778	7314	6769
779	7326	6762
780	7337	6754
781	7347	6746
782	7356	6736
783	7364	6726
784	7373	6716
785	7383	6706
786	7392	6697
787	7399	6686
788	7407	6675
789	7415	6664
790	7423	6654
791	7431	6643
792	7439	6632
